Sigla	Nome	Estrato
3DIM	International Conference on 3-D Digital Imaging and Modeling	B1
3DUI	IEEE Symposium on 3D User Interfaces	B2
3PGCIC	International Conference on P2P, Parallel, Grid, Cloud, and Internet Computing	B4
AAAI	Conference on Artificial Inteligence	A1
AAECC	Applied algebra, Algebraic algorithms, and Error Correcting Codes	B2
AAIM	Algorithmic Applications in Management	B3
AAIP	Workshop on Approaches and Applications of Inductive Programming	B5
AAMAS	International Joint Conference on Autonomous Agents and Multiagents Systems	A1
ABiALS	Anticipatory Behavior in Adaptive Learning Systems	B3
ABS	Agent-based Simulation Workshop	B4
ABZ	Abstract State Machines, Aloy, B and Z	B2
AC	IADIS International Conference on Applied Computing	B4
ACC	American Control Conference	A1
ACE	Australasian Conference on Computing Education	B2
ACE_A	International Conference on Advances in Computer Entertainment Technology	B1
ACHI	International Conference on Advances in Computer-Human Interaction	B3
ACiD	Algorithms and Complexity in Durham	B4
ACII	International Conference on Affective Computing and Inteligent Interaction	B1
ACIIDS	Asian Conference on Inteligent Information and Database Systems	B4
ACIL	Advances in Computational Inteligence and Learning	B4
ACIS-ICIS	International Conference on Computer and Information Science	B3
ACIVS	Advanced Concepts for Inteligent Vision Systems Conference	B2
ACL	International Conference of the Association of Computational Linguistics	A1
ACL2	Workshop on the ACL2 Theorem Prover and Its Applications	B3
ACMC	Australasian Computer Music Conference	B4
ACNS	International Conference on Applied Cryptography and Network Security	B1
ACOM	International Workshop on Assessment of Contemporary Modularization Techniques	B5
ACRI	International Conference on Celular Automata for Research and Industry	B2
ACSAC	Annual Computer Security Applications Conference	A1
ACSD	International Conference on Application of Concurrency to System Design	B1
Ada-Europe	International Conference on Reliable Software Technologies	B2
ADBIS	Symposium on Advances in Database and Information Systems	B1
ADC	Australasian Database Conference	B1
AdCom	International Conference on Advanced Computing and Communications	B3
ADHOC-NOW	International Conference on AD-HOC Networks and Wireless	B1
ADHOCNETS	International Conference on Ad Hoc Networks	B5
ADMA	International Conference on Advanced Data Mining and Applications	B2
ADMI	International Workshop on Agents and Data Mining Interaction	B5
ADPRL	IEEE International Symposium on Approximate Dynamic Programming and Reinforcement Learning	B3
ADS	Agent-Directed Simulation Symposium	B5
ADT	Algorithmic Decision Theory	B4
AEM	International Conference on Applied and Engineering Mathematics	B4
AES-Brasil	Audio Engineering Society - Brasil	B5
AFRICACRYPT	International Conference on Cryptology in Africa	B3
AGI	Artificial General Inteligence	B4
Agile	Agile Development Conference	B1
AGILE_A	AGILE Conference on Geographic Information Science	B3
AGO	International Conference on Advances In Global Optimization: Methods and Applications	B5
AGS	Agents for Games and Simulations	B4
AI	Canadian Conference on Artificial Inteligence	B1
AI*IA	Congress of the Italian Association for Artificial Inteligence	B3
AIA	Artificial Inteligence and Applications Conference	B4
AIAI	IFIP International Conference on Artificial Inteligence Applications and Innovations	B4
AICCSA	ACS/IEEE International Conference on Computer Systems and Applications	B1
